Manufacturer,Fat,DietaryFiber,Carbs,Sugars,Protein_g
Kelloggs,2,3,17,13,3
Kelloggs,1,2,20,9,3
Kelloggs,2,3,21,7,3
General Mills,1,4,15,14,3
General Mills,2,2,18,8,3
General Mills,2,1.5,13.5,10,3
Quaker Oats,5,2,8,8,3
Quaker Oats,2,0,12,12,1
General Mills,3,0,13,9,1
Kelloggs,0,5,14,12,3
Post,3,3,13,4,3
Quaker Oats,2,1,12,11,1
Kelloggs,1,0,15,9,2
Post,1,6,11,14,3
Kelloggs,1,5,14,12,3
Ralston Purina,2,1,14,8,2
General Mills,2,1.5,10.5,10,2
Kelloggs,0,1,11,14,2
General Mills,2,2,17,1,6
General Mills,2,2,13,7,3
General Mills,1,0,12,13,1
Ralston Purina,0,0,22,3,2
Kelloggs,0,1,13,12,1
General Mills,1,0,12,13,1
Kelloggs,3,4,10,7,3
Kelloggs,0,1,21,3,2
Kelloggs,1,1,11,13,2
Kelloggs,0,1,14,11,1
Post,1,0,13,12,1
General Mills,1,0,15,9,1
Post,0,3,17,3,3
General Mills,1,1.5,11.5,10,3
Post,0,0,14,11,1
Kelloggs,1,1,17,6,2
General Mills,1,0,21,3,2
General Mills,1,0,12,12,2
Ralston Purina,0,0,23,2,1
Kelloggs,0,0,22,3,2
Kelloggs,1,1,9,15,2
Kelloggs,0,1,16,3,6
General Mills,1,0,21,3,2
General Mills,1,0,21,3,2
General Mills,1,0,13,12,1
General Mills,1,1,16,8,2
Kelloggs,0,1,21,2,2
Nabisco,0,1,21,0,3
General Mills,1,2,11,10,2
Ralston Purina,0,1,18,5,2
Kelloggs,0,3,14,7,3
Post,0,0,11,15,2
Post,1,3,15,5,3
Quaker Oats,2,2,12,6,4
American Home Food Products,1,0,16,3,4
General Mills,1,2,15,6,2
Kelloggs,0,1,20,3,3
Quaker Oats,1,2,14,6,4
Quaker Oats,2,2.7,-1,-1,5
General Mills,2,2.5,10.5,8,3
General Mills,1,3,16,3,3
Ralston Purina,1,3,17,3,3
General Mills,1,3,17,3,3
Ralston Purina,1,4,15,6,2
Post,0,5,13,5,3
Kelloggs,0,3,18,2,3
Kelloggs,0,2,15,6,2
Nabisco,0,4,19,0,3
Nabisco,0,3,20,0,3
Nabisco,0,3,15,5,2
Nabisco,0,3,16,0,2
Nabisco,1,10,5,6,4
Kelloggs,1,9,7,5,4
Kelloggs,0,14,8,0,4
Quaker Oats,0,0,13,0,1
Quaker Oats,0,1,10,0,2
